territory,region,district,District 2,sites_code,sites_name,ruangan_code,ruangan_name,ruangan_panjang,ruangan_lebar,ruangan_tinggi,ruangan_luas,rack_code,rack_name,rack_panjang,rack_lebar,rack_tinggi,rack_luas,code,name,label_code,jenis,merk,tahun_operasi,status,kondisi,kapasitas,satuan_kapasitas,jenis_tegangan,beban_arus,satuan_beban,keterangan,Usia Perangkat,Condition,latitude,longitude,address,class_type,organization_name,teknisi,uuid,organization_uuid,organization_sname
TIF1,1,SUMSEL,#REF!,TJN,TANJUNG PANDAN,TIF1-TJN-02,R. GENSET,5.57,5.8,3.41,32.31,TIF1-TJN-02-0001,RACK GENSET 1,3.45,1.54,1.42,5.31,TIF1-TJN-02-0001-00002,GENSET 1,1760590567052669-9Y5PI1DOX7,GENSET,LEROY SOMER,2006,AKTIF,NORMAL,150,KVa,AC,0,KVa,,20,Usia Operasi,-2.744977095,107.6368229,Jl. Dock No. 1 | Kabupaten Belitung | Provinsi Kepulauan Bangka Belitung,ADVANCE,CLUSTER PANGKAL PINANG,"GERRY CHARISTI, Hari Barkah, Mustar",deab2cef-20a9-4a6d-98a1-af0361cd88ee,549f33c7-aac5-4059-a150-3e4c52239557,C_PKLP
TIF1,1,SUMSEL,#REF!,TJN,TANJUNG PANDAN,TIF1-TJN-02,R. GENSET,5.57,5.8,3.41,32.31,,,,,,,TIF1-TJN-02-0000-00005,BATERAI STARTER 2,1760590567323011-0ZYNQWQH8D,BATSTARTER,CATERPILLAR,2025,AKTIF,NORMAL,100,Ah,DC,0,A,,1,,-2.744977095,107.6368229,Jl. Dock No. 1 | Kabupaten Belitung | Provinsi Kepulauan Bangka Belitung,ADVANCE,CLUSTER PANGKAL PINANG,"GERRY CHARISTI, Hari Barkah, Mustar",deab2cef-20a9-4a6d-98a1-af0361cd88ee,549f33c7-aac5-4059-a150-3e4c52239557,C_PKLP
TIF1,1,SUMSEL,#REF!,PGC,PALEMBANG CENTRUM,TIF1-PGC-02,R. ATS/AMF,6.7,6.7,3.9,44.89,,,,,,,TIF1-PGC-02-0000-00008,AC 02 R. ATS/AMF,176034418026124-TBSFQA8DD2,ACSPLIT,PANASONIC,2010,AKTIF,NORMAL,2,PK,AC,10,A,,16,Usulan Modernisasi,-2.977657058,104.748676,"Jl. Kapten Anwar Sastro, Sungai Pangeran, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30127, Indonesia | Kota Palembang | Provinsi Sumatera Selatan",POP,CLUSTER PALEMBANG,"Ari, ASEP SURYADI, Bagus Saputra, Danu Saputera, Diky Kurniawan, DWI HINDARNO, Endi Nurwendi, IDUAL ANTON, Irene Paulus, ISMAIL, Mahesa Rakita Dewa, M Firdaus Dzikri, M Rizky Yoga Pamungkas, Muhammad Apriyadi, Muhammad Rajab Prasetyo, Muhammad Ta'im, Oktavian Dwi Putra, Ramadhan Jaya Wardana, Ramadhan Putra, Sumiran, Tegar Gantasha",05043d45-3c53-4525-958d-b9b296454d0c,93d00666-c7a2-4d14-a81e-745be0da4e62,C_PLMB
TIF1,1,SUMSEL,#REF!,TJN,TANJUNG PANDAN,TIF1-TJN-07,R. TRANSMISI,5.84,3.8,3.38,22.19,TIF1-TJN-07-0001,RACK GPON 01,0.6,0.3,2.2,0.18,TIF1-TJN-07-0001-00028,GPON 01-D1-TJN-2,1760590569799575-YD2QONPMKF,OLT,HUAWEI,2019,AKTIF,NORMAL,,,DC,17.28,A,,7,,-2.744977095,107.6368229,Jl. Dock No. 1 | Kabupaten Belitung | Provinsi Kepulauan Bangka Belitung,ADVANCE,CLUSTER PANGKAL PINANG,"GERRY CHARISTI, Hari Barkah, Mustar",deab2cef-20a9-4a6d-98a1-af0361cd88ee,549f33c7-aac5-4059-a150-3e4c52239557,C_PKLP
TIF1,1,SUMSEL,#REF!,PGC,PALEMBANG CENTRUM,TIF1-PGC-03,R. BATTERY BASAH,8.4,5.85,3.1,49.14,TIF1-PGC-03-0005,RACK BATTERY BASAH  05,2.7,0.58,0.65,1.57,TIF1-PGC-03-0005-00014,BATTERY BASAH 05,1760344181269905-D00IW1PEK2,BATBASAH,VARTA,1993,AKTIF,NORMAL,1000,Ah,DC,0,A,,33,Usulan Modernisasi,-2.977657058,104.748676,"Jl. Kapten Anwar Sastro, Sungai Pangeran, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30127, Indonesia | Kota Palembang | Provinsi Sumatera Selatan",POP,CLUSTER PALEMBANG,"Ari, ASEP SURYADI, Bagus Saputra, Danu Saputera, Diky Kurniawan, DWI HINDARNO, Endi Nurwendi, IDUAL ANTON, Irene Paulus, ISMAIL, Mahesa Rakita Dewa, M Firdaus Dzikri, M Rizky Yoga Pamungkas, Muhammad Apriyadi, Muhammad Rajab Prasetyo, Muhammad Ta'im, Oktavian Dwi Putra, Ramadhan Jaya Wardana, Ramadhan Putra, Sumiran, Tegar Gantasha",05043d45-3c53-4525-958d-b9b296454d0c,93d00666-c7a2-4d14-a81e-745be0da4e62,C_PLMB
TIF1,1,SUMSEL,#REF!,PGC,PALEMBANG CENTRUM,TIF1-PGC-04,R. RECTIFIER,8.45,5.85,2.87,49.43,,,,,,,TIF1-PGC-04-0000-00019,AC 01 R. RECTIFIER,1760344181451724-MORYHLFH88,ACSPLIT,DAIKIN,2022,AKTIF,NORMAL,2,PK,AC,7.4,A,,4,Usia Operasi,-2.977657058,104.748676,"Jl. Kapten Anwar Sastro, Sungai Pangeran, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30127, Indonesia | Kota Palembang | Provinsi Sumatera Selatan",POP,CLUSTER PALEMBANG,"Ari, ASEP SURYADI, Bagus Saputra, Danu Saputera, Diky Kurniawan, DWI HINDARNO, Endi Nurwendi, IDUAL ANTON, Irene Paulus, ISMAIL, Mahesa Rakita Dewa, M Firdaus Dzikri, M Rizky Yoga Pamungkas, Muhammad Apriyadi, Muhammad Rajab Prasetyo, Muhammad Ta'im, Oktavian Dwi Putra, Ramadhan Jaya Wardana, Ramadhan Putra, Sumiran, Tegar Gantasha",05043d45-3c53-4525-958d-b9b296454d0c,93d00666-c7a2-4d14-a81e-745be0da4e62,C_PLMB
TIF1,1,SUMSEL,#REF!,TJN,TANJUNG PANDAN,TIF1-TJN-07,R. TRANSMISI,5.84,3.8,3.38,22.19,TIF1-TJN-07-0002,RACK GPON 02,0.6,0.6,2.1,0.36,TIF1-TJN-07-0002-00029,GPON 00-D1-TJN-3,1760590569799602-U4PRY1Y6WG,OLT,ZTE,2019,AKTIF,NORMAL,,,DC,15.28,A,,7,,-2.744977095,107.6368229,Jl. Dock No. 1 | Kabupaten Belitung | Provinsi Kepulauan Bangka Belitung,ADVANCE,CLUSTER PANGKAL PINANG,"GERRY CHARISTI, Hari Barkah, Mustar",deab2cef-20a9-4a6d-98a1-af0361cd88ee,549f33c7-aac5-4059-a150-3e4c52239557,C_PKLP
TIF1,1,SUMSEL,#REF!,TJN,TANJUNG PANDAN,TIF1-TJN-07,R. TRANSMISI,5.84,3.8,3.38,22.19,TIF1-TJN-07-0002,RACK GPON 02,0.6,0.6,2.1,0.36,TIF1-TJN-07-0002-00030,GPON 02-D1-TJN-3,1760590569984209-O7CDDU6C59,OLT,ZTE,2019,AKTIF,NORMAL,,,DC,15.14,A,,7,,-2.744977095,107.6368229,Jl. Dock No. 1 | Kabupaten Belitung | Provinsi Kepulauan Bangka Belitung,ADVANCE,CLUSTER PANGKAL PINANG,"GERRY CHARISTI, Hari Barkah, Mustar",deab2cef-20a9-4a6d-98a1-af0361cd88ee,549f33c7-aac5-4059-a150-3e4c52239557,C_PKLP
TIF1,1,SUMSEL,#REF!,TJN,TANJUNG PANDAN,TIF1-TJN-07,R. TRANSMISI,5.84,3.8,3.38,22.19,TIF1-TJN-07-0003,RACK GPON 03,0.6,0.3,2.2,0.18,TIF1-TJN-07-0003-00031,GPON 04-D1-TJN-3,1760590569984249-KEEM27APA6,OLT,ZTE,2019,AKTIF,NORMAL,,,DC,8.67,A,,7,,-2.744977095,107.6368229,Jl. Dock No. 1 | Kabupaten Belitung | Provinsi Kepulauan Bangka Belitung,ADVANCE,CLUSTER PANGKAL PINANG,"GERRY CHARISTI, Hari Barkah, Mustar",deab2cef-20a9-4a6d-98a1-af0361cd88ee,549f33c7-aac5-4059-a150-3e4c52239557,C_PKLP
TIF1,1,SUMSEL,#REF!,TJN,TANJUNG PANDAN,TIF1-TJN-08,R. SKKL LT.2,6.2,7,3,43.4,TIF1-TJN-08-0006,RACK WME 131,0.9,0.9,2.2,0.81,TIF1-TJN-08-0006-00051,WME 131 SUBRACK 03,1760590571883305-JZP096FYNU,DWDM,NEC,2023,AKTIF,NORMAL,,,DC,2.3,A,,3,,-2.744977095,107.6368229,Jl. Dock No. 1 | Kabupaten Belitung | Provinsi Kepulauan Bangka Belitung,ADVANCE,CLUSTER PANGKAL PINANG,"GERRY CHARISTI, Hari Barkah, Mustar",deab2cef-20a9-4a6d-98a1-af0361cd88ee,549f33c7-aac5-4059-a150-3e4c52239557,C_PKLP
